Date,AAPL_Open,AAPL_High,AAPL_Low,AAPL_Close,AAPL_Volume,AAPL_return_1d,AAPL_return_3d,AAPL_return_5d,AAPL_return_7d,AAPL_return_10d,AAPL_sma_5,AAPL_price_to_sma_5,AAPL_sma_5_slope,AAPL_sma_10,AAPL_price_to_sma_10,AAPL_sma_10_slope,AAPL_sma_20,AAPL_price_to_sma_20,AAPL_sma_20_slope,AAPL_sma_50,AAPL_price_to_sma_50,AAPL_sma_50_slope,AAPL_volatility_10d,AAPL_rolling_max_10d,AAPL_rolling_min_10d,AAPL_price_range_10d,AAPL_volatility_20d,AAPL_rolling_max_20d,AAPL_rolling_min_20d,AAPL_price_range_20d,AAPL_volatility_30d,AAPL_rolling_max_30d,AAPL_rolling_min_30d,AAPL_price_range_30d,AAPL_rsi_14,AAPL_rsi_overbought,AAPL_rsi_oversold,AAPL_macd,AAPL_macd_signal,AAPL_macd_diff,AAPL_macd_cross,AAPL_roc_10,AAPL_roc_20,AAPL_momentum_10,AAPL_bb_high,AAPL_bb_low,AAPL_bb_mid,AAPL_bb_width,AAPL_bb_position,AAPL_bb_squeeze,AAPL_volume_sma_20,AAPL_volume_ratio,AAPL_volume_change,AAPL_volume_trend,AAPL_high_volume,AAPL_adx,AAPL_adx_strong_trend,AAPL_stoch_k,AAPL_stoch_d,AAPL_stoch_overbought,AAPL_stoch_oversold,AAPL_williams_r,AAPL_atr,AAPL_atr_percent,AAPL_ema_12,AAPL_ema_26,AAPL_ema_cross,AAPL_close_lag_1,AAPL_return_lag_1,AAPL_close_lag_2,AAPL_return_lag_2,AAPL_close_lag_3,AAPL_return_lag_3,AAPL_close_lag_5,AAPL_return_lag_5,AAPL_close_lag_10,AAPL_return_lag_10,AAPL_day_of_week,AAPL_month,AAPL_quarter,AAPL_is_month_end,AAPL_is_quarter_end,AAPL_rsi_vol_interaction,AAPL_return_volume_interaction,AAPL_rsi_macd_interaction,AAPL_vol_return_interaction,AAPL_rsi_bb_interaction,AAPL_macd_volume_interaction,AAPL_adx_vol_interaction,AAPL_fib_236,AAPL_fib_382,AAPL_fib_500,AAPL_fib_618,AAPL_fib_786,AAPL_dist_to_fib_236,AAPL_dist_to_fib_382,AAPL_dist_to_fib_500,AAPL_dist_to_fib_618,AAPL_dist_to_fib_786,AAPL_ichimoku_tenkan,AAPL_ichimoku_kijun,AAPL_ichimoku_senkou_a,AAPL_ichimoku_senkou_b,AAPL_ichimoku_chikou,AAPL_ichimoku_above_cloud,AAPL_ichimoku_below_cloud,future_close,target
2021-05-27,123.4765968874658,124.64846921096527,122.14847094718905,122.34378051757812,94625600,-0.01237694162263192,-0.014319429996206279,-0.01594538676956503,0.003443943725745413,0.0024805947225847724,123.35160827636719,0.9918296342230817,0.1933547973632841,123.25493087768555,0.9926075950583135,0.08301010131836506,124.09322929382324,0.9859021415898297,-1.8453659057617244,124.67373519897461,0.9813115835690815,0.2987641906738361,0.013330062017660274,124.46293640136719,121.76763916015625,0.022134758132790252,0.015950173825269746,129.2141876220703,119.89263153076172,0.07774919919842525,0.013872215796116397,131.4564666748047,119.89263153076172,0.09645159169832679,44.26411947912761,0,0,-0.8747045108181624,-0.8127807058481723,-0.06192380496999006,-1,0.248059472258474,-5.983827607042347,0.302734375,128.53456243951356,119.65189614813292,124.09322929382324,0.07158058777202585,0.3030491387543505,1,87523165.0,1.081149202042682,0.6725425490358969,-5242010.0,0,18.05307462583855,0,41.56350783737904,48.07580288970337,0,0,-58.43649216262096,2.58131180114473,2.1098839599564703,123.57652618749842,124.45123069831658,-1,123.87699890136719,-0.0003940724267074147,123.92583465576172,-0.0015733793338464919,124.12112426757812,0.013313880262838085,124.32621002197266,0.021011911534650096,122.04104614257812,0.017919488332067912,3,5,2,0,0,0.7060203999145939,-0.01338132055903736,-38.718024975787,0.00019741437030619533,13.414203285869291,-0.9456860838941908,0.2879496783626915,122.09251876831054,123.4534659576416,124.55340957641602,125.65335319519043,127.21937461853027,0.00205373536933889,-0.009070223556677122,-0.01806082049688186,-0.0270514174370866,-0.039851589351954236,122.64654339268401,126.5076593100305,126.58922024898521,123.85704374930238,138.69149780273438,0,1,121.68950653076172,0
2021-05-28,122.62700604353964,122.85161879427051,121.63091513952054,121.68950653076172,71311100,-0.005347832019318766,-0.018045697502962366,-0.006537631868952842,-0.0006416534798031615,-0.022283178838571893,123.19144897460937,0.9878080625209854,0.42772216796875284,122.977587890625,0.9895258853100217,0.2724609375,123.76964111328125,0.9831934991181265,-1.745993041992179,124.75741485595704,0.9754090101278752,0.31063079833984375,0.011484397806110422,124.32621002197266,121.68950653076172,0.021667468020707348,0.015705274442459338,129.2141876220703,119.89263153076172,0.07774919919842525,0.013883962179598091,131.4564666748047,119.89263153076172,0.09645159169832679,42.765607593557085,0,0,-0.9604430666795736,-0.8423131780144526,-0.11812988866512097,-1,-2.2283178838571924,-5.04970308400454,-2.7734298706054688,127.91118529693486,119.62809692962765,123.76964111328125,0.0669234255896892,0.2488696860062868,1,85596745.0,0.833105277542972,-0.24638681287093556,-7200325.0,0,17.96792844333958,0,38.87966413235266,43.8325362025335,0,0,-61.12033586764734,2.4841255049736755,2.0413637755575227,123.28621547107738,124.24665853775696,-1,122.34378051757812,-0.01237694162263192,123.87699890136719,-0.0003940724267074147,123.92583465576172,-0.0015733793338464919,122.49030303955078,-0.01476685392482735,124.46293640136719,0.019844882810653885,4,5,2,0,0,0.6716456039553371,-0.0044553070787077525,-41.07393130557123,8.398916953557273e-05,10.643063333676627,-0.8001501876303093,0.2821912473651193,122.09251876831054,123.4534659576416,124.55340957641602,125.65335319519043,127.21937461853027,-0.003311807640923788,-0.014495575478679175,-0.0235345111283719,-0.032573446778064626,-0.04544243990644058,122.64654339268401,126.5076593100305,126.87195423363698,123.85704374930238,141.18170166015625,0,1,121.36723327636719,0
2021-06-01,122.1484865589402,122.4121552577231,121.03520547415292,121.36723327636719,67637100,-0.0026483241125895285,-0.020260142296459005,-0.022187125740773528,-0.02380010413799727,-0.015759934668793663,122.64067077636719,0.9896165155332354,-0.2851608276367159,122.78325119018555,0.9884673365455601,0.053711700439464494,123.37729339599609,0.9837080222437905,-1.7774230957031278,124.84517791748047,0.9721419385263553,0.2758312988281233,0.01121965058832109,124.32621002197266,121.36723327636719,0.02438035922650999,0.015502825673747287,127.15824127197266,119.89263153076172,0.06060096978809534,0.013813882603467297,131.3394775390625,119.89263153076172,0.09547580916483413,42.01117151447912,0,0,-1.0423803365320339,-0.882326609717969,-0.16005372681406493,-1,-1.5759934668793638,-6.072827210471765,-1.9433670043945312,126.80691970884992,119.94766708314226,123.37729339599609,0.055595745674951354,0.2069563946230177,1,85221845.0,0.7936591844497147,-0.051520730994193076,-7384615.0,0,18.125608896643136,0,33.44296505392814,37.96204567455328,0,0,-66.55703494607185,2.405041524873426,1.9816234249955,122.99098744112197,124.03336777765401,-1,121.68950653076172,-0.005347832019318766,122.34378051757812,-0.01237694162263192,123.87699890136719,-0.0003940724267074147,124.12112426757812,0.013313880262838085,123.31060028076172,-0.009258468054211932,1,6,2,0,0,0.6512918683388677,-0.0021018667553563196,-43.79161910136774,4.105650704505694e-05,8.694480590525822,-0.8272947277784332,0.28099815495518143,121.6073154296875,122.6680944519043,123.52543640136719,124.38277835083008,125.60340078735352,-0.001978146381351719,-0.010718388649223773,-0.0177824200712026,-0.02484645149318143,-0.03490371656854113,122.64654339268401,126.5076593100305,127.0352377403465,123.85704374930238,139.8828582763672,0,1,122.12896728515625,1
2021-06-02,121.36724933170292,122.30474892445967,121.14264401239463,122.12896728515625,59278900,0.006276273984548331,-0.001755816532014176,-0.01449953817617422,-0.002949913139474014,0.0016820802604022855,122.28129730224609,0.9987542656117451,-1.0449249267578153,122.803759765625,0.9945051154642446,-0.0224609375,123.2516487121582,0.9908911447535776,-1.5484737396240291,124.88188201904296,0.9779558516465429,0.2515931701660037,0.010897482935100329,124.32621002197266,121.36723327636719,0.02438035922650999,0.013607113537688093,127.15824127197266,119.89263153076172,0.06060096978809534,0.01376468321697303,131.3394775390625,119.89263153076172,0.09547580916483413,44.50323573241404,0,0,-1.0339321189172352,-0.9126477115578222,-0.12128440735941304,-1,0.1682080260402369,-2.016091269309321,0.20508575439453125,126.67086319644534,119.83243422787106,123.2516487121582,0.05548346849740517,0.3358275808433213,1,81307555.0,0.7290700107757514,-0.1235741922702186,-11598590.0,0,18.272026460425007,0,40.29308042899193,37.53856987175757,0,0,-59.70691957100807,2.316260338244256,1.8965691676046603,122.85836895558879,123.89230107450602,-1,121.36723327636719,-0.0026483241125895285,121.68950653076172,-0.005347832019318766,122.34378051757812,-0.01237694162263192,123.92583465576172,-0.0015733793338464919,121.92388153076172,-0.011245738378068304,2,6,2,0,0,0.6055605814054555,0.00457584314154622,-46.01332481948807,8.540197270138717e-05,14.945413995716661,-0.7538089010803841,0.24862953861064416,121.6073154296875,122.6680944519043,123.52543640136719,124.38277835083008,125.60340078735352,0.004271319630917318,-0.004414408626654879,-0.011434380780035194,-0.01845435293341551,-0.02844888955856716,123.17388256164492,126.5076593100305,127.0352377403465,123.42324458034629,141.7090301513672,0,1,120.64458465576172,0
2021-06-03,121.75786579428137,121.92387970340114,120.2441902802076,120.64458465576172,76229200,-0.012154222396138614,-0.00858678701877924,-0.026093740357555517,-0.028009250096073468,-0.009222930756811465,121.634814453125,0.9918589936457305,-2.1132797241210852,122.69145431518555,0.9833169337599865,-0.533203125,123.03959846496582,0.9805346096778261,-1.4429702758789062,124.90547164916993,0.9658871069685719,0.24602416992188125,0.011584808900880178,124.32621002197266,120.64458465576172,0.03051629193896944,0.013813852923065547,127.15824127197266,119.89263153076172,0.06060096978809534,0.013856283762593418,131.3394775390625,119.89263153076172,0.09547580916483413,40.82166763539382,0,0,-1.1339427323169815,-0.9569067157096541,-0.17703601660732737,-1,-0.9222930756811514,-3.3959121764525193,-1.1230545043945312,126.55194390559599,119.52725302433565,123.03959846496582,0.05709292755259231,0.15905776500525556,1,80918970.0,0.9420436271000484,0.2859415407505874,-9427965.0,0,18.779664180372524,0,12.454116097816327,28.730053860245466,0,1,-87.54588390218368,2.2854401001517126,1.8943578003710795,122.51778675561539,123.65172948793237,-1,122.12896728515625,0.006276273984548331,121.36723327636719,-0.0026483241125895285,121.68950653076172,-0.005347832019318766,123.87699890136719,-0.0003940724267074147,121.76763916015625,-0.0012814747090056366,3,6,2,0,0,0.5639045127895952,-0.01144980775063906,-46.28943333621417,0.00016789664057448813,6.493003217873118,-1.0682235244756286,0.25941951893222837,121.6073154296875,122.6680944519043,123.52543640136719,124.38277835083008,125.60340078735352,-0.007979892149098684,-0.0167724875668171,-0.02387883180853477,-0.03098517605025244,-0.041102683106257275,122.77837496467225,126.5076593100305,127.0352377403465,123.1307343335593,141.1133270263672,0,1,122.93950653076172,1
2021-06-04,121.16216229807738,123.20318269390796,120.94731726161271,122.93950653076172,75169300,0.01902217063076761,0.012954676579091773,0.0048692790975017886,-0.007959019422703939,-0.011153750210561864,121.75395965576172,1.0097372346521782,-1.5976486206054688,122.55278396606445,1.0031555591981032,-0.7021469116210994,122.86235237121582,1.0006279723451232,-1.2308769226074219,125.02273025512696,0.9833372401953299,0.34899505615234716,0.011177212739115476,124.12112426757812,120.64458465576172,0.02881637515464209,0.014220030165677607,127.15824127197266,119.89263153076172,0.06060096978809534,0.014276945735275458,131.3394775390625,119.89263153076172,0.09547580916483413,47.98589129608325,0,0,-1.0163055108231305,-0.9687864747323495,-0.04751903609078101,-1,-1.1153750210561875,-2.8026547770986476,-1.3867034912109375,125.99915628574009,119.72554845669156,122.86235237121582,0.05106208458465353,0.5122982120732273,1,80771020.0,0.9306469077646908,-0.013904120730638625,-6752145.0,0,18.437197217754317,0,55.49439894390378,36.08053182357068,0,0,-44.50560105609622,2.304951381437036,1.8748663033394355,122.58266672102252,123.59897223184565,-1,120.64458465576172,-0.012154222396138614,122.12896728515625,0.006276273984548331,121.36723327636719,-0.0026483241125895285,122.34378051757812,-0.01237694162263192,124.32621002197266,0.021011911534650096,4,6,2,0,0,0.6823608217572303,0.017702924276496196,-48.7683257659691,0.00027049584018618207,24.58308631572369,-0.945821580991761,0.2621775006070136,121.6073154296875,122.6680944519043,123.52543640136719,124.38277835083008,125.60340078735352,0.010836151361489944,0.0022076880452542827,-0.0047660014843060915,-0.011739691013866465,-0.021668333733918542,122.77837496467225,126.5076593100305,127.0352377403465,122.94551255401707,142.2266082763672,0,1,122.94929504394531,1
2021-06-07,123.2129638011091,123.35944975534903,121.9043728312253,122.94929504394531,71057600,7.96205667308314e-05,0.006716897530736565,0.010352482716865508,-0.007488911304353807,0.003747170126980004,122.00591735839843,1.0077322289440738,-1.1855316162109375,122.5986831665039,1.0028598339589443,-0.37890472412109943,122.65190505981445,1.002424666653044,-1.1177360534667997,125.13043548583984,0.9825690653642666,0.37302062988280227,0.010087926010051774,124.12112426757812,120.64458465576172,0.02881637515464209,0.014139023623340435,124.46293640136719,119.89263153076172,0.03811998128869857,0.013802043059156227,131.3394775390625,119.89263153076172,0.09547580916483413,48.01479940251433,0,0,-0.9117769173096235,-0.9573845632478043,0.045607645938180785,1,0.37471701269799923,-3.31000663891303,0.45899200439453125,125.09587028681946,120.20793983280944,122.65190505981445,0.03985205489981007,0.560841697100433,1,80375235.0,0.8840733093968559,-0.05469919235645404,-5221510.0,0,18.02301257851987,0,55.67797834181445,41.20883112784485,0,0,-44.32202165818555,2.2442460630575143,1.8253427661015558,122.63907107839526,123.55084799570488,-1,122.93950653076172,0.01902217063076761,120.64458465576172,-0.012154222396138614,122.12896728515625,0.006276273984548331,121.68950653076172,-0.005347832019318766,122.49030303955078,-0.01476685392482735,0,6,2,0,0,0.6788823830221024,7.039041792577932e-05,-43.77878578446447,1.1257570739109788e-06,26.92870158284299,-0.8060776367175823,0.25482780061145427,120.97122348022461,121.63848799133301,122.17778396606445,122.7170799407959,123.48489115905761,0.016088514887488286,0.010661362898776991,0.006275034579133626,0.0018887062594902606,-0.004356235754917197,122.77837496467225,125.04531566108864,127.78591600698033,123.46221084672325,145.6543731689453,0,1,123.76957702636719,1
2021-06-08,123.63285881954378,125.44927381859075,123.25199989330952,123.76957702636719,74403800,0.006671709521625768,0.0259024669820207,0.019794006052107793,0.011654017088218227,-0.002832291789857444,122.48638610839843,1.0104761921609242,-0.15428466796875284,122.56352844238282,1.0098401914444828,-0.21972274780273438,122.64653396606445,1.0091567451927623,-0.7307594299316378,125.24245788574218,0.9882397640206112,0.39727996826171363,0.009335192590877311,123.92583465576172,120.64458465576172,0.027197656731650862,0.013032936493893707,124.46293640136719,119.89263153076172,0.03811998128869857,0.013864378176648056,131.01771545410156,119.89263153076172,0.09279205720399424,50.49767634281418,0,0,-0.7540550757333762,-0.9167186657449188,0.16266359001154262,1,-0.28322917898574473,-0.08671656235838501,-0.3515472412109375,125.08015632318127,120.21291160894764,122.64653396606445,0.0396851387221458,0.7307348666933755,1,79691865.0,0.9336436033966579,0.047091373758753496,-5529980.0,0,17.00270196683498,0,69.2855257377031,60.15263434114044,0,0,-30.714474262296907,2.2625126853137947,1.8280038921291633,122.81299507039094,123.56705014612432,-1,122.94929504394531,7.96205667308314e-05,122.93950653076172,0.01902217063076761,120.64458465576172,-0.012154222396138614,121.36723327636719,-0.0026483241125895285,124.12112426757812,0.013313880262838085,1,6,2,0,0,0.6581330088650958,0.006228998918586475,-38.07802915904026,8.69519665010546e-05,36.90041279069154,-0.704018698067249,0.22159513495836192,120.97122348022461,121.63848799133301,122.17778396606445,122.7170799407959,123.48489115905761,0.022609381185381548,0.017218197607479776,0.012860939647257803,0.008503681687035832,0.002300127980957136,122.84673204939918,125.04531566108864,127.72986826983028,123.46221084672325,145.0000457763672,0,0,124.15042877197266,1
2021-06-09,124.22855558580545,124.75590040330229,123.55472485501787,124.15042877197266,56877900,0.0030771030713334646,0.009849740538107277,0.0165518593315912,0.020222961793249228,0.0018123268391518899,122.89067840576172,1.010250983903364,0.6093811035156307,122.5859878540039,1.0127619880979541,-0.21777191162109943,122.70610427856445,1.0117706001824436,-0.5455444335937472,125.35858703613282,0.9903623812877539,0.4767050170898557,0.009377377101900179,124.15042877197266,120.64458465576172,0.029059274614059574,0.012928073118308627,124.46293640136719,119.89263153076172,0.03811998128869857,0.013893283915019096,130.2280731201172,119.89263153076172,0.08620581146142939,51.65226961867095,0,0,-0.5915092762651284,-0.8516767878489608,0.26016751158383244,1,0.1812326839151899,0.9689457719843999,0.2245941162109375,125.224264993544,120.18794356358491,122.70610427856445,0.041043772512944846,0.786781634868753,1,76228620.0,0.7461488873863911,-0.23555114120515352,-5078935.0,0,16.055270684556152,0,75.04660516896224,66.67003641615993,0,0,-24.953394831037752,2.186702889811697,1.7613333368570308,123.01875410140352,123.61026337766864,-1,123.76957702636719,0.006671709521625768,122.94929504394531,7.96205667308314e-05,122.93950653076172,0.01902217063076761,122.12896728515625,0.006276273984548331,123.92583465576172,-0.0015733793338464919,2,6,2,0,0,0.6677643183567693,0.002295977033048711,-30.552796619591334,3.9781013498771075e-05,40.63905713525955,-0.44135398836395495,0.20756371334417895,120.97122348022461,121.63848799133301,122.17778396606445,122.7170799407959,123.48489115905761,0.025607686765120243,0.020233041524595416,0.015889150165815085,0.011545258807034754,0.005360735516567887,122.84673204939918,123.7876757124607,127.72986826983028,123.46221084672325,142.95904541015625,0,0,123.15434265136719,0
2021-06-10,124.04301097808155,125.1855951846905,122.98832875360279,123.15434265136719,71186400,-0.008023219335270948,0.0016677412208714326,0.02080290634483606,0.014724809380226578,-0.00583365964956406,123.39263000488282,0.998068868833526,1.7578155517578153,122.5137222290039,1.005228968728628,-0.17773208618164915,122.86918983459472,1.0023207837307004,-0.17040863037109943,125.48384735107422,0.9814358202359733,0.5783757019042923,0.009736405754154336,124.15042877197266,120.64458465576172,0.029059274614059574,0.01166351660017096,124.46293640136719,120.64458465576172,0.03164959087472073,0.013919481830300574,130.1305694580078,119.89263153076172,0.08539255329147791,48.46817663269132,0,0,-0.536877593695678,-0.7887169490183044,0.25183935532262636,1,-0.5833659649564082,2.7205267571165024,-0.72265625,125.03524697589278,120.70313269329667,122.86918983459472,0.035257938043116895,0.5658230134689759,1,74179325.0,0.959652841273495,0.25156519491753393,-6739645.0,0,14.965264549427696,0,55.90981104721253,66.74731398462596,0,0,-44.09018895278747,2.1874574284742696,1.7761918754799069,123.039613878321,123.57649147201668,-1,124.15042877197266,0.0030771030713334646,123.76957702636719,0.006671709521625768,122.94929504394531,7.96205667308314e-05,120.64458465576172,-0.012154222396138614,123.87699890136719,-0.0003940724267074147,3,6,2,0,0,0.5653093827354134,-0.007699505231253207,-26.021478041376405,9.357895190374533e-05,27.424409759656,-0.5152161082061344,0.17454761149819992,121.54571566772461,122.10319502258301,122.55376052856445,123.0043260345459,123.64580912780762,0.013061877876254669,0.008535205549022592,0.004876662161259703,0.0012181187734968157,-0.003990654863318215,122.84673204939918,123.78422114985648,126.66478311075184,123.46221084672325,139.11138916015625,0,1,124.36528015136719,1
